Date,Close/Last,Volume,Open,High,Low
11/01/2023,$23.76,103256,$23.64,$23.77,$23.025
10/31/2023,$23.72,97937,$23.51,$23.9462,$23.23
10/30/2023,$23.47,216409,$24.12,$24.12,$22.7275
10/27/2023,$24.01,256174,$24.83,$24.83,$23.84
10/26/2023,$24.71,174507,$25.04,$25.28,$24.57
10/25/2023,$25.02,114751,$25.46,$25.46,$24.79
10/24/2023,$25.85,109173,$25.57,$25.92,$25.36
10/23/2023,$25.42,153421,$25.91,$26.00,$25.26
10/20/2023,$26.11,206022,$26.86,$27.14,$25.93
10/19/2023,$26.73,219573,$27.26,$28.14,$26.66
10/18/2023,$26.93,116697,$27.69,$27.86,$26.88
10/17/2023,$28.24,152642,$27.76,$28.66,$27.23
10/16/2023,$28.16,172423,$27.37,$28.20,$27.16
10/13/2023,$27.37,144117,$29.21,$29.515,$27.13
10/12/2023,$29.35,86088,$29.66,$29.79,$29.16
10/11/2023,$29.82,64031,$29.61,$29.86,$29.41
10/10/2023,$29.59,68935,$29.17,$29.965,$29.02
10/09/2023,$29.03,95235,$29.00,$29.26,$28.6675
10/06/2023,$29.47,65772,$28.93,$29.595,$28.68
10/05/2023,$28.99,131897,$29.13,$29.13,$28.47
10/04/2023,$29.03,70151,$29.28,$29.47,$28.95
10/03/2023,$29.18,62925,$29.56,$29.85,$29.06
10/02/2023,$29.69,128901,$29.87,$30.49,$29.45
09/29/2023,$29.84,149211,$29.93,$30.205,$29.565
09/28/2023,$29.68,172398,$28.79,$29.86,$28.79
09/27/2023,$28.79,87897,$28.70,$29.15,$28.44
09/26/2023,$28.41,135608,$29.11,$29.32,$28.40
09/25/2023,$29.44,125980,$29.34,$30.14,$29.055
09/22/2023,$29.63,131107,$28.85,$29.7199,$28.85
09/21/2023,$28.58,122219,$28.25,$28.84,$28.05
09/20/2023,$28.57,72852,$29.35,$29.50,$28.57
09/19/2023,$29.28,103696,$29.19,$29.605,$28.91
09/18/2023,$29.48,90409,$29.34,$29.77,$29.245
09/15/2023,$29.52,371180,$29.96,$29.96,$29.44
09/14/2023,$30.03,189895,$29.52,$30.14,$29.28
09/13/2023,$29.12,124725,$29.25,$29.7099,$28.815
09/12/2023,$29.12,136493,$28.90,$29.54,$28.81
09/11/2023,$29.08,105939,$29.58,$29.65,$28.90
09/08/2023,$29.39,147638,$29.23,$29.68,$28.89
09/07/2023,$29.21,296074,$30.80,$30.905,$28.82
09/06/2023,$31.39,98706,$31.43,$31.86,$31.17
09/05/2023,$31.41,111240,$31.34,$31.57,$30.84
09/01/2023,$31.71,151814,$31.01,$31.92,$31.01
08/31/2023,$31.55,186484,$31.18,$31.70,$31.18
08/30/2023,$31.18,122308,$30.91,$31.65,$30.625
08/29/2023,$31.08,102300,$29.91,$31.28,$29.90
08/28/2023,$30.02,88160,$30.30,$30.67,$29.9097
08/25/2023,$30.14,75262,$30.24,$30.39,$29.78
08/24/2023,$30.22,119326,$31.23,$31.23,$30.18
08/23/2023,$31.06,112132,$30.63,$31.24,$30.47
08/22/2023,$30.73,156297,$31.53,$31.61,$30.28
08/21/2023,$31.22,127125,$30.98,$31.54,$30.62
08/18/2023,$30.99,154974,$30.53,$31.23,$30.27
08/17/2023,$30.57,168212,$31.67,$31.75,$30.53
08/16/2023,$31.71,157781,$32.17,$32.26,$31.51
08/15/2023,$32.33,109970,$32.77,$32.88,$32.29
08/14/2023,$32.80,168976,$32.37,$33.066,$32.11
08/11/2023,$32.47,233028,$34.08,$34.34,$32.165
08/10/2023,$34.30,397190,$34.12,$35.40,$33.39
08/09/2023,$31.82,277578,$33.30,$33.30,$31.52
08/08/2023,$33.56,178301,$33.00,$33.74,$32.85
08/07/2023,$33.50,186415,$33.44,$33.725,$32.825
08/04/2023,$33.26,253562,$32.30,$33.64,$32.235
08/03/2023,$32.47,170208,$31.93,$33.16,$31.90
08/02/2023,$32.38,159433,$32.29,$32.554,$32.04
08/01/2023,$32.73,143172,$32.54,$32.78,$32.25
07/31/2023,$32.88,202871,$31.57,$32.93,$31.57
07/28/2023,$31.45,103670,$31.38,$32.1099,$31.24
07/27/2023,$30.88,110725,$30.97,$31.37,$30.70
07/26/2023,$30.45,115430,$30.75,$31.01,$30.23
07/25/2023,$31.01,165442,$30.80,$31.61,$30.80
07/24/2023,$30.81,99671,$31.21,$31.45,$30.75
07/21/2023,$31.28,208168,$31.70,$31.74,$30.88
07/20/2023,$31.27,162528,$32.17,$32.17,$30.7872
07/19/2023,$32.54,122158,$32.40,$32.63,$32.23
07/18/2023,$32.44,169985,$32.63,$32.95,$32.36
07/17/2023,$32.75,145211,$32.04,$32.99,$31.92
07/14/2023,$32.02,136354,$32.46,$32.72,$31.88
07/13/2023,$32.60,135749,$32.24,$32.72,$32.00
07/12/2023,$32.18,142165,$32.23,$32.36,$31.905
07/11/2023,$31.75,193908,$31.61,$31.85,$31.10
07/10/2023,$31.52,149131,$31.46,$31.97,$31.01
07/07/2023,$31.43,198644,$31.49,$31.99,$31.35
07/06/2023,$31.37,138447,$31.33,$31.64,$30.98
07/05/2023,$31.88,138541,$32.59,$32.69,$31.85
07/03/2023,$32.87,93680,$32.80,$33.15,$32.06
06/30/2023,$32.80,148447,$32.80,$33.02,$32.52
06/29/2023,$32.48,140194,$32.23,$32.53,$31.78
06/28/2023,$32.00,152408,$31.29,$32.17,$31.06
06/27/2023,$31.66,276938,$31.15,$31.70,$29.98
06/26/2023,$31.22,300166,$29.93,$31.80,$29.93
06/23/2023,$29.91,826706,$30.13,$30.406,$29.70
06/22/2023,$30.87,134858,$30.40,$30.91,$30.21
06/21/2023,$30.61,237674,$31.31,$31.84,$30.505
06/20/2023,$31.38,432923,$29.29,$31.48,$29.185
06/16/2023,$29.33,981691,$29.48,$29.48,$28.60
06/15/2023,$29.13,283724,$28.51,$29.14,$28.28
06/14/2023,$28.79,286864,$29.69,$29.78,$28.59
