Date,Close/Last,Volume,Open,High,Low
11/1/2023,$51.28 ,11280810,$51.86 ,$51.91 ,$51.17 
10/31/2023,$51.53 ,14670400,$51.38 ,$51.66 ,$50.67 
10/30/2023,$51.25 ,29683020,$51.73 ,$51.90 ,$50.26 
10/27/2023,$51.02 ,17895360,$52.05 ,$52.22 ,$49.49 
10/26/2023,$52.97 ,25054000,$53.96 ,$55.29 ,$52.92 
10/25/2023,$56.61 ,11766060,$56.02 ,$56.77 ,$55.96 
10/24/2023,$56.12 ,9442756,$56.14 ,$56.68 ,$55.88 
10/23/2023,$56.00 ,10028400,$56.35 ,$56.72 ,$55.98 
10/20/2023,$56.46 ,11638350,$56.24 ,$57.09 ,$56.24 
10/19/2023,$56.48 ,13169210,$56.64 ,$56.96 ,$55.72 
10/18/2023,$56.85 ,11816220,$57.40 ,$57.59 ,$56.77 
10/17/2023,$57.37 ,13223420,$57.15 ,$57.65 ,$56.98 
10/16/2023,$57.17 ,12328650,$56.79 ,$57.49 ,$56.69 
10/13/2023,$56.47 ,12824870,$56.37 ,$56.67 ,$55.90 
10/12/2023,$56.26 ,10728800,$56.63 ,$56.67 ,$55.80 
10/11/2023,$56.65 ,8470665,$56.48 ,$56.89 ,$56.34 
10/10/2023,$56.39 ,13217430,$56.71 ,$56.77 ,$56.23 
10/9/2023,$56.61 ,8481545,$56.10 ,$57.13 ,$55.70 
10/6/2023,$56.66 ,8901161,$56.25 ,$56.88 ,$56.17 
10/5/2023,$56.42 ,8015362,$56.04 ,$56.61 ,$55.83 
10/4/2023,$56.73 ,11684450,$57.10 ,$57.34 ,$56.31 
10/3/2023,$57.22 ,10991940,$57.66 ,$58.05 ,$57.12 
10/2/2023,$57.85 ,8865324,$58.01 ,$58.06 ,$57.15 
9/29/2023,$58.04 ,10902510,$58.18 ,$58.46 ,$57.87 
9/28/2023,$58.14 ,8265091,$58.01 ,$58.42 ,$57.81 
9/27/2023,$57.89 ,11366010,$58.58 ,$58.75 ,$57.61 
9/26/2023,$58.54 ,9380681,$58.87 ,$59.25 ,$58.52 
9/25/2023,$59.16 ,7005969,$58.84 ,$59.28 ,$58.55 
9/22/2023,$58.90 ,8191466,$59.33 ,$59.46 ,$58.77 
9/21/2023,$59.08 ,9597339,$58.56 ,$59.46 ,$58.53 
9/20/2023,$58.78 ,8699641,$58.80 ,$59.31 ,$58.71 
9/19/2023,$58.63 ,10455720,$58.56 ,$58.92 ,$58.34 
9/18/2023,$58.58 ,16915040,$59.04 ,$59.15 ,$58.33 
9/15/2023,$59.03 ,22379180,$59.44 ,$59.83 ,$58.86 
9/14/2023,$59.49 ,18147760,$60.14 ,$60.55 ,$59.28 
9/13/2023,$59.65 ,19392300,$60.25 ,$60.58 ,$59.65 
9/12/2023,$60.24 ,9949012,$61.01 ,$61.02 ,$59.84 
9/11/2023,$60.81 ,14363720,$60.75 ,$61.43 ,$60.68 
9/8/2023,$60.82 ,9526702,$60.16 ,$60.89 ,$60.01 
9/7/2023,$59.97 ,9697699,$59.87 ,$60.50 ,$59.86 
9/6/2023,$59.67 ,12247240,$60.30 ,$60.40 ,$59.45 
9/5/2023,$60.64 ,10887740,$61.89 ,$62.00 ,$60.59 
9/1/2023,$62.02 ,6838840,$61.83 ,$62.40 ,$61.83 
8/31/2023,$61.65 ,11464810,$62.45 ,$62.53 ,$61.65 
8/30/2023,$62.38 ,9052858,$62.93 ,$63.03 ,$62.20 
8/29/2023,$62.85 ,11978970,$61.98 ,$63.41 ,$61.98 
8/28/2023,$61.64 ,6848936,$62.06 ,$62.41 ,$61.38 
8/25/2023,$62.08 ,7953416,$61.42 ,$62.30 ,$61.25 
8/24/2023,$61.28 ,8277510,$61.36 ,$62.01 ,$61.23 
8/23/2023,$61.56 ,7859455,$62.26 ,$62.40 ,$61.41 
8/22/2023,$61.86 ,8716751,$61.81 ,$62.13 ,$61.60 
8/21/2023,$61.91 ,9898069,$62.13 ,$62.49 ,$61.90 
8/18/2023,$62.06 ,8200761,$62.22 ,$62.58 ,$61.87 
8/17/2023,$62.15 ,17886430,$61.02 ,$62.72 ,$61.00 
8/16/2023,$60.93 ,9611121,$61.34 ,$61.62 ,$60.89 
8/15/2023,$61.75 ,14442510,$61.53 ,$62.15 ,$61.20 
8/14/2023,$61.62 ,19536740,$61.35 ,$61.89 ,$61.21 
8/11/2023,$61.23 ,16836210,$61.53 ,$61.73 ,$61.07 
8/10/2023,$61.29 ,23791600,$61.09 ,$61.95 ,$60.95 
8/9/2023,$60.62 ,7705323,$59.80 ,$60.95 ,$59.75 
8/8/2023,$60.16 ,12497750,$60.69 ,$60.82 ,$59.71 
8/7/2023,$60.47 ,9774048,$60.51 ,$60.76 ,$60.10 
8/4/2023,$60.49 ,7625241,$61.08 ,$61.45 ,$60.37 
8/3/2023,$61.23 ,6878801,$61.46 ,$61.47 ,$60.45 
8/2/2023,$61.75 ,11937960,$61.17 ,$62.33 ,$61.02 
8/1/2023,$61.53 ,9228108,$62.32 ,$62.57 ,$61.18 
7/31/2023,$62.19 ,11702180,$61.35 ,$62.32 ,$61.11 
7/28/2023,$61.41 ,11595300,$60.80 ,$61.50 ,$60.05 
7/27/2023,$60.73 ,22625390,$61.00 ,$62.53 ,$60.38 
7/26/2023,$63.41 ,11032200,$63.14 ,$63.89 ,$62.93 
7/25/2023,$63.77 ,6966665,$64.50 ,$64.65 ,$63.75 
7/24/2023,$64.73 ,6886671,$64.70 ,$65.38 ,$64.70 
7/21/2023,$64.68 ,9898088,$63.89 ,$64.79 ,$63.76 
7/20/2023,$63.77 ,9257486,$62.45 ,$64.04 ,$62.37 
7/19/2023,$62.06 ,8695145,$62.12 ,$62.86 ,$62.00 
7/18/2023,$62.00 ,6451506,$61.94 ,$62.76 ,$61.80 
7/17/2023,$61.85 ,7487741,$61.99 ,$62.02 ,$61.41 
7/14/2023,$61.94 ,9234522,$62.02 ,$62.34 ,$61.57 
7/13/2023,$62.28 ,9029735,$62.40 ,$62.75 ,$62.21 
7/12/2023,$62.28 ,7340296,$62.88 ,$63.27 ,$62.12 
7/11/2023,$62.79 ,9344918,$62.32 ,$62.92 ,$62.12 
7/10/2023,$62.48 ,7493063,$62.63 ,$62.96 ,$62.30 
7/7/2023,$62.65 ,8665555,$63.24 ,$63.45 ,$62.63 
7/6/2023,$63.44 ,6639109,$63.66 ,$63.91 ,$63.30 
7/5/2023,$64.73 ,8803847,$64.31 ,$65.00 ,$63.92 
7/3/2023,$64.43 ,4832500,$63.94 ,$64.91 ,$63.44 
6/30/2023,$63.95 ,8397821,$64.28 ,$64.41 ,$63.94 
6/29/2023,$64.00 ,7023242,$63.77 ,$64.45 ,$63.63 
6/28/2023,$64.09 ,9465976,$64.70 ,$64.70 ,$62.88 
6/27/2023,$64.75 ,6531782,$64.75 ,$65.05 ,$64.22 
6/26/2023,$64.79 ,7916040,$65.04 ,$65.10 ,$64.01 
6/23/2023,$65.04 ,11133270,$65.38 ,$65.42 ,$64.89 
6/22/2023,$65.30 ,5784044,$65.75 ,$65.85 ,$65.12 
6/21/2023,$65.50 ,8493750,$65.91 ,$66.38 ,$65.45 
6/20/2023,$66.03 ,10799390,$65.83 ,$66.37 ,$65.25 
6/16/2023,$66.16 ,19394440,$64.88 ,$66.24 ,$64.61 
6/15/2023,$64.67 ,8525210,$64.24 ,$64.94 ,$63.87 
6/14/2023,$64.16 ,6379286,$64.96 ,$65.00 ,$64.05 
6/13/2023,$64.76 ,7968126,$64.19 ,$64.80 ,$63.96 
6/12/2023,$64.76 ,7142951,$64.79 ,$64.98 ,$64.20 
6/9/2023,$64.80 ,7069516,$65.37 ,$65.46 ,$64.60 
6/8/2023,$65.31 ,4996697,$65.34 ,$65.62 ,$65.07 
6/7/2023,$65.16 ,6643798,$65.16 ,$65.33 ,$64.75 
6/6/2023,$65.48 ,5618803,$66.27 ,$66.38 ,$65.12 
6/5/2023,$65.98 ,6914423,$65.90 ,$66.46 ,$65.69 
6/2/2023,$65.66 ,6768783,$64.92 ,$65.79 ,$64.49 
6/1/2023,$64.68 ,8697264,$64.46 ,$64.73 ,$63.78 
5/31/2023,$64.44 ,14934200,$63.69 ,$64.60 ,$63.15 
5/30/2023,$63.71 ,8443197,$63.37 ,$64.09 ,$63.07 
5/26/2023,$63.82 ,8458979,$64.51 ,$64.97 ,$63.70 
5/25/2023,$64.56 ,7811810,$64.94 ,$65.15 ,$63.98 
5/24/2023,$65.47 ,7285386,$66.60 ,$66.69 ,$65.25 
5/23/2023,$66.53 ,10162560,$66.08 ,$67.16 ,$65.86 
5/22/2023,$65.81 ,7356056,$65.84 ,$66.30 ,$65.14 
5/19/2023,$65.84 ,9196173,$65.77 ,$66.35 ,$65.66 
5/18/2023,$65.70 ,10080550,$66.31 ,$66.35 ,$65.18 
5/17/2023,$66.53 ,9338361,$67.06 ,$67.35 ,$66.07 
5/16/2023,$67.02 ,7870530,$68.06 ,$68.14 ,$66.93 
5/15/2023,$68.17 ,5907984,$68.20 ,$68.46 ,$67.77 
5/12/2023,$68.06 ,11964120,$68.61 ,$68.78 ,$67.61 
5/11/2023,$69.08 ,8416138,$68.57 ,$69.10 ,$67.96 
5/10/2023,$68.49 ,8841794,$68.17 ,$68.95 ,$67.56 
5/9/2023,$68.00 ,6408489,$68.00 ,$68.37 ,$67.84 
5/8/2023,$68.41 ,6142343,$68.08 ,$68.77 ,$67.86 
5/5/2023,$68.14 ,8561960,$67.14 ,$68.44 ,$67.12 
5/4/2023,$66.82 ,8801885,$66.45 ,$67.24 ,$66.40 
5/3/2023,$66.64 ,12717720,$68.33 ,$68.74 ,$66.32 
5/2/2023,$68.10 ,7793438,$68.25 ,$68.99 ,$67.40 
5/1/2023,$68.40 ,10034010,$67.28 ,$68.74 ,$67.26 
4/28/2023,$66.77 ,10695010,$67.14 ,$67.23 ,$66.02 
4/27/2023,$67.61 ,10521850,$68.02 ,$68.02 ,$66.50 
4/26/2023,$68.02 ,10206380,$69.60 ,$69.74 ,$67.64 
4/25/2023,$70.24 ,5337312,$70.68 ,$70.94 ,$70.10 
4/24/2023,$70.54 ,5384546,$70.34 ,$70.62 ,$70.06 
4/21/2023,$70.49 ,6543787,$70.09 ,$70.55 ,$69.95 
4/20/2023,$69.53 ,5977749,$69.70 ,$69.81 ,$68.85 
4/19/2023,$69.86 ,8179203,$70.27 ,$70.42 ,$69.55 
4/18/2023,$70.23 ,5723116,$70.55 ,$70.75 ,$69.88 
4/17/2023,$70.60 ,4435166,$70.60 ,$70.78 ,$70.22 
4/14/2023,$70.45 ,6260425,$70.60 ,$70.79 ,$69.95 
4/13/2023,$70.69 ,5981632,$70.44 ,$70.82 ,$69.93 
4/12/2023,$70.21 ,5364325,$70.05 ,$70.67 ,$69.80 
4/11/2023,$70.03 ,4762676,$70.47 ,$70.50 ,$69.97 
4/10/2023,$70.28 ,5646440,$70.76 ,$70.84 ,$69.99 
4/6/2023,$70.74 ,9669523,$69.69 ,$71.07 ,$69.60 
4/5/2023,$69.82 ,7739025,$69.46 ,$70.21 ,$69.04 
4/4/2023,$68.91 ,8626710,$69.78 ,$69.78 ,$68.63 
4/3/2023,$69.69 ,7333975,$69.03 ,$70.01 ,$68.67 
3/31/2023,$69.31 ,8953242,$68.66 ,$69.38 ,$68.37 
3/30/2023,$68.20 ,4400176,$68.38 ,$68.53 ,$67.99 
3/29/2023,$68.18 ,5369955,$68.22 ,$68.46 ,$67.86 
3/28/2023,$68.20 ,4715296,$68.08 ,$68.59 ,$67.96 
3/27/2023,$68.07 ,6711455,$68.09 ,$68.82 ,$68.01 
3/24/2023,$67.68 ,6275289,$67.20 ,$67.78 ,$66.69 
3/23/2023,$66.98 ,6723635,$67.59 ,$67.90 ,$66.64 
3/22/2023,$67.24 ,6657597,$67.49 ,$68.00 ,$67.22 
3/21/2023,$67.51 ,8039687,$67.48 ,$67.81 ,$66.87 
3/20/2023,$67.24 ,9731678,$66.73 ,$67.38 ,$66.24 
3/17/2023,$66.53 ,21616940,$67.33 ,$67.33 ,$66.21 
3/16/2023,$67.10 ,10541660,$67.03 ,$67.61 ,$65.86 
3/15/2023,$67.48 ,10701890,$66.12 ,$67.72 ,$66.06 
