Date,Close/Last,Volume,Open,High,Low
11/01/2023,$5.31,1327752,$6.11,$6.19,$5.23
10/31/2023,$6.09,977024,$5.95,$6.285,$5.87
10/30/2023,$5.90,925920,$5.61,$5.91,$5.36
10/27/2023,$5.52,859358,$5.60,$5.665,$5.41
10/26/2023,$5.56,1236676,$5.19,$5.715,$5.115
10/25/2023,$5.24,1575863,$5.65,$5.67,$5.20
10/24/2023,$5.78,1177825,$5.79,$6.21,$5.71
10/23/2023,$5.725,1310727,$5.67,$5.89,$5.38
10/20/2023,$5.75,1486217,$6.00,$6.03,$5.62
10/19/2023,$6.03,1611632,$6.22,$6.54,$5.985
10/18/2023,$6.30,1820044,$6.54,$6.66,$5.90
10/17/2023,$6.62,1118432,$6.62,$7.42,$6.60
10/16/2023,$6.71,994218,$6.50,$6.78,$6.29
10/13/2023,$6.49,1062939,$6.64,$6.74,$6.21
10/12/2023,$6.65,1162275,$6.81,$7.48,$6.56
10/11/2023,$7.00,1221029,$6.96,$7.22,$6.43
10/10/2023,$6.80,1501875,$7.4999,$8.40,$6.5916
10/09/2023,$7.53,1224078,$7.21,$7.74,$7.11
10/06/2023,$7.27,1525974,$7.08,$7.31,$6.62
10/05/2023,$7.10,2079717,$6.87,$7.25,$6.0301
10/04/2023,$6.94,5572298,$8.20,$8.29,$5.415
10/03/2023,$8.24,1307499,$8.59,$8.67,$8.05
10/02/2023,$8.72,6745874,$9.72,$10.19,$8.32
09/29/2023,$9.88,3379592,$9.66,$10.5075,$9.12
09/28/2023,$10.21,812226,$10.33,$10.7083,$10.144
09/27/2023,$10.47,1142293,$10.85,$10.90,$10.1006
09/26/2023,$10.68,1702275,$11.24,$11.37,$9.92
09/25/2023,$11.89,788143,$11.53,$12.06,$11.37
09/22/2023,$11.60,437514,$11.71,$12.05,$11.565
09/21/2023,$11.74,429768,$11.26,$12.08,$11.14
09/20/2023,$11.66,1064512,$11.80,$12.64,$11.50
09/19/2023,$11.62,2307529,$13.02,$13.136,$10.75
09/18/2023,$13.10,652053,$14.27,$14.33,$12.98
09/15/2023,$14.33,839985,$14.04,$14.50,$13.66
09/14/2023,$14.32,350043,$14.44,$14.81,$14.234
09/13/2023,$14.19,449049,$14.70,$14.8793,$13.94
09/12/2023,$14.66,386359,$15.39,$15.63,$14.62
09/11/2023,$15.47,322951,$15.57,$15.78,$15.25
09/08/2023,$15.31,497359,$14.70,$15.46,$14.48
09/07/2023,$15.06,524661,$14.95,$15.16,$14.5044
09/06/2023,$15.27,357110,$15.45,$15.7967,$15.16
09/05/2023,$15.46,526541,$16.00,$16.15,$14.73
09/01/2023,$16.33,339410,$16.73,$17.267,$16.23
08/31/2023,$16.70,309286,$16.44,$16.79,$16.30
08/30/2023,$16.40,351973,$16.03,$16.59,$15.795
08/29/2023,$16.02,315591,$15.20,$16.29,$14.96
08/28/2023,$15.16,370350,$15.36,$15.52,$15.04
08/25/2023,$15.20,661469,$14.24,$15.59,$14.23
08/24/2023,$14.10,539047,$14.85,$14.85,$13.83
08/23/2023,$14.87,499449,$14.44,$15.20,$14.40
08/22/2023,$14.41,564445,$14.50,$14.50,$13.58
08/21/2023,$14.33,1077347,$13.86,$15.0638,$13.75
08/18/2023,$13.93,856112,$14.50,$14.79,$13.88
08/17/2023,$15.08,848030,$14.53,$15.35,$14.05
08/16/2023,$14.69,800732,$14.67,$15.035,$14.15
08/15/2023,$14.86,1097374,$13.99,$15.00,$13.8501
08/14/2023,$14.37,3039264,$16.32,$16.53,$12.91
08/11/2023,$16.83,2055164,$15.02,$16.87,$14.02
08/10/2023,$14.79,3930526,$21.84,$22.26,$14.5701
08/09/2023,$21.71,1231436,$25.31,$25.99,$20.86
08/08/2023,$26.25,532000,$27.10,$27.11,$26.05
08/07/2023,$27.59,329159,$27.87,$27.9772,$26.30
08/04/2023,$27.94,284565,$27.08,$28.4798,$26.88
08/03/2023,$27.07,288064,$27.44,$27.64,$26.4746
08/02/2023,$27.82,425629,$28.73,$28.85,$26.81
08/01/2023,$29.49,338653,$30.36,$30.92,$29.435
07/31/2023,$30.96,734070,$29.00,$32.87,$28.75
07/28/2023,$28.30,317113,$27.74,$28.9696,$27.74
07/27/2023,$27.21,477904,$28.87,$29.98,$27.15
07/26/2023,$28.34,352971,$27.96,$28.49,$27.10
07/25/2023,$28.19,739846,$27.21,$28.23,$26.455
07/24/2023,$27.20,382478,$26.16,$27.31,$25.87
07/21/2023,$26.22,314309,$27.16,$27.64,$25.95
07/20/2023,$26.65,360470,$27.70,$27.74,$26.21
07/19/2023,$27.76,377352,$28.00,$28.4699,$27.085
07/18/2023,$27.92,316219,$27.66,$28.34,$27.37
07/17/2023,$27.65,1245382,$22.28,$28.10,$21.56
07/14/2023,$24.75,467810,$25.30,$25.38,$24.2613
07/13/2023,$25.41,379911,$25.74,$25.94,$25.38
07/12/2023,$25.46,437455,$25.75,$25.795,$24.88
07/11/2023,$25.03,186689,$25.92,$26.1299,$24.86
07/10/2023,$25.66,320249,$24.70,$25.88,$24.70
07/07/2023,$24.61,486441,$23.02,$25.10,$22.98
07/06/2023,$22.98,1412847,$27.24,$27.56,$21.63
07/05/2023,$25.67,353150,$25.91,$26.82,$25.56
07/03/2023,$26.26,309551,$25.40,$26.50,$24.91
06/30/2023,$25.20,1076801,$27.40,$28.267,$24.36
06/29/2023,$26.94,743270,$27.55,$27.99,$26.1101
06/28/2023,$27.65,1169531,$25.21,$27.95,$24.925
06/27/2023,$24.79,435970,$24.70,$25.29,$23.89
06/26/2023,$24.64,728908,$22.83,$25.01,$22.83
06/23/2023,$22.85,505582,$22.46,$23.35,$22.205
06/22/2023,$22.89,193564,$22.44,$22.95,$22.02
06/21/2023,$22.55,260787,$23.50,$23.50,$22.26
06/20/2023,$23.11,317522,$22.66,$23.43,$22.415
06/16/2023,$22.65,671713,$22.99,$22.99,$22.02
06/15/2023,$22.70,281658,$22.45,$22.74,$22.012
06/14/2023,$22.72,359356,$23.26,$23.42,$22.2966
06/13/2023,$23.27,430918,$22.80,$24.0561,$22.695
06/12/2023,$22.63,404015,$22.30,$23.22,$22.055
06/09/2023,$22.22,234073,$22.03,$22.34,$21.63
06/08/2023,$22.05,390581,$21.95,$22.42,$21.16
06/07/2023,$22.00,492950,$20.64,$22.05,$20.64
06/06/2023,$20.51,303121,$19.86,$20.95,$19.735
06/05/2023,$19.96,247873,$20.08,$20.40,$19.31
06/02/2023,$20.43,336062,$19.87,$20.87,$19.39
06/01/2023,$19.52,289004,$19.74,$20.08,$19.23
05/31/2023,$19.92,725796,$19.65,$20.20,$19.12
05/30/2023,$19.93,259286,$20.20,$20.3785,$19.4575
05/26/2023,$19.81,495614,$18.55,$20.17,$18.43
05/25/2023,$18.55,176528,$18.47,$18.61,$18.02
05/24/2023,$18.43,235716,$18.15,$18.50,$17.35
05/23/2023,$18.41,228778,$18.40,$18.89,$18.28
05/22/2023,$18.53,338311,$17.40,$18.62,$17.30
05/19/2023,$17.45,301393,$17.65,$18.25,$17.27
05/18/2023,$17.45,391566,$16.73,$17.71,$16.73
05/17/2023,$16.72,346287,$15.50,$16.75,$15.32
05/16/2023,$15.37,240132,$15.51,$15.855,$15.34
05/15/2023,$15.73,232133,$15.43,$15.76,$15.25
05/12/2023,$15.43,277217,$15.30,$15.79,$15.29
05/11/2023,$15.29,342945,$16.00,$16.30,$15.14
05/10/2023,$16.10,765105,$17.53,$18.18,$15.85
05/09/2023,$16.62,423043,$16.61,$16.98,$16.094
05/08/2023,$16.70,337539,$15.90,$16.72,$15.39
05/05/2023,$15.85,267026,$16.25,$16.4899,$15.69
05/04/2023,$15.91,325215,$15.59,$16.14,$15.4506
05/03/2023,$15.76,324060,$15.45,$16.17,$15.45
05/02/2023,$15.26,285093,$15.95,$16.035,$15.22
05/01/2023,$16.04,248496,$16.13,$16.40,$15.90
04/28/2023,$16.26,178351,$16.35,$16.63,$16.25
04/27/2023,$16.35,226678,$16.21,$16.37,$15.92
04/26/2023,$15.83,180538,$16.30,$16.38,$15.74
04/25/2023,$15.86,294170,$16.40,$16.455,$15.81
04/24/2023,$16.61,252366,$17.46,$17.5839,$16.47
04/21/2023,$17.44,253834,$17.28,$17.61,$17.0978
04/20/2023,$17.31,230064,$17.24,$17.62,$17.1701
04/19/2023,$17.55,227719,$17.43,$17.77,$17.26
04/18/2023,$17.61,364934,$18.38,$18.54,$17.52
04/17/2023,$18.28,300165,$17.88,$18.44,$17.74
04/14/2023,$17.88,344153,$17.99,$18.255,$17.5857
04/13/2023,$18.05,760090,$17.50,$18.3625,$17.10
04/12/2023,$17.60,1070003,$19.00,$19.00,$17.53
04/11/2023,$18.43,3421771,$15.76,$19.33,$15.41
04/10/2023,$15.10,5603994,$14.56,$17.76,$14.40
04/06/2023,$13.05,735431,$12.06,$13.39,$11.81
04/05/2023,$11.99,368742,$12.26,$12.31,$11.745
04/04/2023,$12.35,350265,$12.81,$12.875,$12.21
04/03/2023,$12.81,295405,$13.25,$13.27,$12.62
03/31/2023,$13.19,334582,$13.02,$13.33,$12.87
03/30/2023,$12.86,191124,$13.51,$13.5774,$12.76
03/29/2023,$13.365,210136,$13.36,$13.49,$13.135
03/28/2023,$13.12,235231,$12.94,$13.22,$12.665
