Date,Close/Last,Volume,Open,High,Low
11/1/2023,$1.78 ,192291,$1.89 ,$1.90 ,$1.72 
10/31/2023,$1.89 ,187235,$1.71 ,$1.94 ,$1.71 
10/30/2023,$1.73 ,78417,$1.67 ,$1.78 ,$1.67 
10/27/2023,$1.70 ,152111,$1.73 ,$1.74 ,$1.69 
10/26/2023,$1.71 ,170171,$1.72 ,$1.79 ,$1.69 
10/25/2023,$1.73 ,223248,$1.66 ,$1.76 ,$1.64 
10/24/2023,$1.66 ,404230,$1.77 ,$1.78 ,$1.63 
10/23/2023,$1.72 ,299706,$1.80 ,$1.83 ,$1.71 
10/20/2023,$1.86 ,1336539,$1.96 ,$1.96 ,$1.61 
10/19/2023,$2.00 ,217863,$2.08 ,$2.12 ,$1.98 
10/18/2023,$2.10 ,140483,$2.16 ,$2.16 ,$2.09 
10/17/2023,$2.18 ,131039,$2.08 ,$2.21 ,$2.07 
10/16/2023,$2.08 ,291347,$1.98 ,$2.10 ,$1.98 
10/13/2023,$1.96 ,224865,$2.00 ,$2.01 ,$1.93 
10/12/2023,$2.00 ,363904,$2.14 ,$2.15 ,$1.96 
10/11/2023,$2.16 ,164249,$2.20 ,$2.25 ,$2.13 
10/10/2023,$2.18 ,323845,$2.11 ,$2.22 ,$2.05 
10/9/2023,$2.13 ,291935,$2.20 ,$2.20 ,$2.08 
10/6/2023,$2.24 ,140574,$2.23 ,$2.24 ,$2.15 
10/5/2023,$2.24 ,293673,$2.23 ,$2.32 ,$2.12 
10/4/2023,$2.22 ,194769,$2.16 ,$2.25 ,$2.16 
10/3/2023,$2.24 ,281860,$2.19 ,$2.24 ,$2.06 
10/2/2023,$2.18 ,374705,$2.24 ,$2.24 ,$2.14 
9/29/2023,$2.28 ,354925,$2.35 ,$2.47 ,$2.25 
9/28/2023,$2.30 ,656520,$2.14 ,$2.32 ,$2.07 
9/27/2023,$2.11 ,640804,$1.96 ,$2.13 ,$1.95 
9/26/2023,$1.93 ,1074770,$2.18 ,$2.29 ,$1.88 
9/25/2023,$2.18 ,3706408,$1.83 ,$2.33 ,$1.73 
9/22/2023,$3.31 ,287211,$3.44 ,$3.44 ,$3.27 
9/21/2023,$3.40 ,343886,$3.60 ,$3.61 ,$3.37 
9/20/2023,$3.56 ,627571,$3.44 ,$3.66 ,$3.41 
9/19/2023,$3.39 ,328793,$3.17 ,$3.43 ,$3.15 
9/18/2023,$3.20 ,201375,$3.28 ,$3.29 ,$3.17 
9/15/2023,$3.31 ,183942,$3.39 ,$3.42 ,$3.27 
9/14/2023,$3.39 ,177779,$3.39 ,$3.46 ,$3.35 
9/13/2023,$3.38 ,237936,$3.48 ,$3.54 ,$3.33 
9/12/2023,$3.51 ,300633,$3.41 ,$3.58 ,$3.39 
9/11/2023,$3.41 ,234707,$3.36 ,$3.47 ,$3.29 
9/8/2023,$3.32 ,252525,$3.15 ,$3.38 ,$3.12 
9/7/2023,$3.16 ,370617,$3.45 ,$3.45 ,$3.07 
9/6/2023,$3.45 ,287537,$3.49 ,$3.57 ,$3.41 
9/5/2023,$3.46 ,475113,$3.66 ,$3.87 ,$3.44 
9/1/2023,$3.65 ,323656,$3.52 ,$3.74 ,$3.50 
8/31/2023,$3.52 ,399413,$3.66 ,$3.76 ,$3.45 
8/30/2023,$3.56 ,432175,$3.49 ,$3.76 ,$3.47 
8/29/2023,$3.47 ,561639,$3.39 ,$3.57 ,$3.31 
8/28/2023,$3.37 ,491965,$3.03 ,$3.39 ,$3.01 
8/25/2023,$3.01 ,331294,$3.04 ,$3.11 ,$2.95 
